Email Addresses,company names,address
princy@zelenium.orgwww.zeleniumglobal.com,Airpay Payment Services Pvt.Ltd.,"Wing – A,  9th Floor,‘Jyothirmaya’ BuildingInfopark Kochi Phase 2,Brahmapuram P.O.,Kochi – 682303www.airpay.co.in/"
,Alignminds Technologies,"9A-3, WING A, JYOTHIRMAYA, INFOPARK PHASE 2, KOCHI - 682303alignminds.com"
,AllenZion,"Infopark Technology Business CenterITBC, Jawaharlal International StadiumKochi, Kerala- 682017https://www.allenzion.com"
,ALT-D Technologies LLP,"ALT-D Technologies LLPUnit VII D7th Floor,Carnival Infopark, Phase 3Infopark Kochi 682030www.altd.in"
,ALTOS Technologies,"1st Floor - Thapasya Building, Infopark Phase 1, Kakkanad, Ernakulam, Kerala, Indiaaltostechnologies.in"
,Amatosoft,"Infopark TBC,JNI Stadium, Kaloor,Kochi-682017https://amatosoft.com"
,AMIYON SOLUTIONS PVT LTD.,"Sougandikam, First Floor,Infopark, Naalukettu Road,Koratty, Thrissur – 680 308www.amiyon.com"
,AMLA CONSULTANCY PVT LTD,"Infopark TBCKaloor JNI Stadium,Kochi, India – 682017www.amlaconsultancy.com"
,AMPLITUDE SOFTWARE SYSTEMS PRIVATE LIMITED,"Seat No: 32-35,SBC-2, First FloorThapasya BuildingInfopark Kochi P OKakkanadwww.jupiterbs.com"
,Appadore Private Limited,"1 A, Carnival InfoparkPhase 2, InfoparkKochi SEZ, Kakkanad,Kochi – 682042www.appadore.com"
,Applexus Technologies,"APPLEXUS TECHNOLOGIES12 B1,  Trans Asia Cyber Park,Info park, Phase-II ,Cochin- 682 303www.applexus.com"
,Applied Payments Technology Pvt Ltd.,"‘Thapasya’ AnnexeInfopark Kochi campus,Infopark Kochi P.O.,Kakkanad, Kochi - 682042Kerala, Indiawww.appliedpaymentstech.com"
,Approcker Technologies Pvt Ltd,"SBC-2, Gamma,Thapasya Building, 1st floor,Infopark Campus, Kakkanad,Kochi- 682042www.approcker.in"
,Apps Team Technologies Pvt.Ltd.,"15H, Trans Asia Cyber Park,Infopark SEZ Phase - IIKakkanadKerala-682303appsteamtechnologies.com"
,APTON WORKS PVT LTD,"APTON WORKS PVT LTD, KANIKKONNA VILLA , INFOPARK THRISSUR ,NALUKETTU ROAD, KORATTY - 680308www.aptonworks.com"
,Armia Systems Pvt. Ltd,"3rd Floor, Wing 1Jyothirmaya BuildingINFOPARK, Phase II.www.armia.com"
,Art Technology and Software.,"Ground Floor,Thapasya building,Infopark, KakkanadKochi –682 030.www.artechsoft.com"
,Aspire Systems Digital Private Limited,"SEZ Unit 304-306, 3rd Floor, Tower B, World Trade Center, Infopark Campus, Infopark, Kochi, Kerala 682042https://www.aspiresys.com/"
,Asterisks Softwares Pvt Ltd,"2nd Floor,Phase-I,LeelaInfopark,Kochi-682 030,Kerala, Indiawww.asteriskssoft.com"
,AVENTUS INFORMATICS,"Indeevaram Building,Ground FloorKoratty, Infopark ,Thrissur - 680308www.aventusinformatics.com"
,Ayata Commerce Tech Solutions Pvt Ltd,"Ayata Commerce Tech Solutions Pvt Ltd,10th floor, Transasia Cyber Park,Infopark Phase 2,Kakkanad, Ernakulam, Kerala- 682303www.ayatacommerce.com"
,Beinex Consulting Pvt Ltd,"19, Ground Level, Infopark TBCJNI Stadium, Kaloor, Kochi,Kerala 682017, Indiawww.beinex.com"
,BestDoc Technology Pvt.Ltd.,"Smart Business Centre – 1,2nd Floor,  Thapasya BuildingInfopark Kochi P.O.,Kochi – 682042www.bestdocapp.com"
,Beth Soft Technologies India Private Limited,"Room No. 39, Infopark TBC, JNI Stadium, Kaloor, Kochi - 682017www.bethsofttechnologies.com"
,Bhooshan's Junior,"Infopark TBC,No-112 ,First Floor,No-18C,Ground FloorJLN Stadium, Kaloor,Cochin-682017www.bhooshansjr.in"
,Binaries,"Infopark TBC, JNI Stadium complex, Kaloor, Kochiwww.binariesindia.com"
,Bitsping Technologies Pvt Ltd,"Room No 27/8,Infopark TBC,JNI Stadium Complex,kaloor-1www.bitsping.com"
,BJ Corps,"39/40 Infopark TBC,JNI Stadium,Kochi - 17www.bjcorps.com"
,Braddock Infotech Pvt. Ltd.,"Infopark ThrissurMandaram Nalukettu Road,Koratty - 680308Kerala, Indiawww.braddockinfotech.com"
,Braid Technologies Pvt. Ltd,"Tower 1, 10th Floor, 10C,Trans Asia Cyber ParkInfopark Phase 2SEZ,  Brahmapuram P.O.Kochi - 682303."
,Brennan IT India Private Limited,"11 H, Tower-2, Trans Asia Cyber Park, Infopark SEZ Phase 2, Ambalamedu, P.O, Puthenkurish, Kerala 682303www.brennanit.com.au/"
,Bytestrone India Private Limited,"TransAsia Tower II 12F,Infopark Phase II,Kakkanad, Ernakulam,Kerala, 682303www.bytestrone.com"
,Cabot Technology Solutions Pvt. Ltd.,"204, Second Floor,Lulu Cyber Tower-1,Infopark, Kakkanad,Kochi-682042.www.cabotsolutions.com"
,Calpine Group,"1st Floor, Thapasya Building,Infopark, Kakkanad,Kochi - 682 042www.calpinetech.com"
,Cascade Revenue Management Pvt. Ltd,"Unit No.504, 5th Floor,World Trade Centre Kochi,Infopark Kochi-Phase 1SEZ, Kusumagiri PO,Kakkanad, Kochi-682030www.cascaderevenue.com"
,Cavli Wireless,"Wing 1, Second Floor,Jyotirmaya BuildingInfopark Kochi Phase II,SEZ, Kochi, Indiawww.cavliwireless.com"
,CCS Technologies (P) Ltd,"Fourth Floor, Lulu Cyber Tower,Infopark, Kusumagiri P.O,Kakkanad, Kochi - 682030www.ccs-technologies.com"
,CEREIV Advisory LLP,"Chembakam Building,Infopark Thrissur,Koratty, Thrissur Dt,Kerala – 680 308www.cereiv.com"
,Chillar Payment Solutions Pvt.Ltd.,"15th Floor, Part A2,Trans Asia Cyber ParkInfopark Kochi Phase II,Brahmapuram P.O. – 682303www.chillarpayments.com"
,Classic Technologies & Business Solutions Pvt. Ltd.,"18F, Transasia Cyberpark, Infopark Phase 2, Kochi 682030www.ctebs.com/"
,ClaySys Technologies Pvt.Ltd,Infopark Phase 2KakkanadErnakulamKerala682303www.claysys.com
,Cloudium Software Pvt. Ltd.,"Carnival Infopark,Phase 2, First Floor,Infopark SEZ, Kusumagiri,Kakkanad Kochi- 682042www.cloudium.io"
,Cloudza Technologies,"No. 33, Infopark,JNI Stadium, Kaloor,Kochi, Kerala – 682017, India.https://www.cloudza.net"
,Cocoalabs India Pvt Ltd,"First Floor, Indeevaram.Infopark Thrissur campus.Nalukettu Road, Thrissur,Koratty-680308.  Kerala,www.cocoalabs.in"
,CodeDesign Technologies Pvt Ltd,"Infopark TBC,Kaloor, Cochincodedesign.in"
,Codelynks Software Solutions Private Limited,"Office No.10-B1,TransAsia Cyber Park,Infopark SEZ Phase-II,Ambalamedu P.O,Kochi, Kerala- 682303www.codelynks.com"
,CodeNext Technologies Pvt. Ltd.,"49, SBC2, First Floor, Thapasya Building, Phase-1, Infopark, Kochi.www.codenexttechnologies.com"
,Codework Solutions Pvt Ltd.,"Codework Solutions Private LimitedG7, Ground Floor, Athulya BuildingInfopark Phase 1, Kakkanad,Ernakulam, Kerala-682 042www.codework-solutions.com"
,Codmeric Infotech Pvt. Ltd.,"17 A2, Transasia Cyber Park,Infopark Phase 2,Kochi-682303www.codmeric.com"
,Cognicor Technologies Pvt.Ltd,"1st Floor Thapasya Building,Infopark, Kusumagiri P.OKakkanad, Kochi - 682030www.cognicor.com"
,Cognizant Technology Solutions,"Infopark Phase 2,Kakkanad,  Kochi,Kerala 682030www.cognizant.com"
,COMNSEC Technologies Pvt. Ltd,"Thapasya Building,Infopark,Kakkanad,Kochi, Keralawww.comnsec.com"
,CONCEPT CARTON TECHNOLOGIES PRIVATE LIMITED,"Infopark TBCJNI Stadium, Kaloor,Kochi, Kerala 682017http://conceptcarton.com"
,Conduent Business Services LLP,"2nd Floor, VismayaInfopark Kochi,Kerala-682042www.conduent.com"
,ContactPoint 360,"First Floor, SBC-2,Thapasya Building,Infopark Phase 1Kochi P O, Kakkanad.www.contactpoint360.com"
,CoolMinds Technologies Pvt Ltd.,"Ground Floor ,Thapasya building,Infopark, Kakkanad,Kochi –682 042.www.coolmindsinc.com"
,Coresys Infotech Pvt Ltd,"#1A, Leela Phase 2,Infopark,Kakkanad,Cochin, Kerala-682030www.coresysit.com"
,CORRA,"Corra Technology Research and Development India Private Limited,Athulya Building,Ground Floor,Infopark Kochi,Kerala, India - 682030corra.com"
,Crossgen Technologies,"16 B , TBC InfoparkKaloor , Kochiwww.crossgentech.com"
,Cubet Techno Labs Pvt.Ltd,"9th Floor,Carnival Infopark,Phase IV Kusumagiri P.O ,Kakkanad, Kochi - 682030www.cubettech.com"
,Cybrosys Technologies Pvt. Ltd.,"1st Floor, Thapasya Building,Infopark, Kakkanad,Kochi, Kerala 682030www.cybrosys.com"
,D3 Teck,"Office No- 4,9th floor,Jyothirmaya,Phase2www.d3teck.com"
,Daddara E-Traders Private Ltd,"#121, First Floor, Infopark TBC, JNI Stadium, Kaloor, Kochidaddara.in"
,Daskalos virtual Academy pvt Limited,"GA-2 , ground floor, Indeevaram. Infopark , Nalukettu Road , Koratty, Thrissur- 680 308mytuitionapp.com/"
,Datafloat Technologies India Pvt Ltd,"11-A, Tower-1, Trans Asia Cyber Park,Infopark SEZ Phase-II, Ambalamedu P.O,Puthencruz, Kochi-682303www.idcglobal.com"
,Datum Innovation,"Chithanya Building A1-14, First FloorInfopark CampusK.R Puram P.OPallippuram, Cherthalawww.datuminnovation.com"
,DFM Softech Solutions,"3rd Floor,Jyothirmaya IT BuildingInfopark Kochi Phase IIBrahmapuram P.O.,Kochi - 682303www.designalpha.in"
,Digiora Technologies Pvt.Ltd.,"World Trade CenterInfopark Phase 1 Campus,Kakkanad,  Kochi - 682042www.digiora.com"
,Dimensions Cybertech India Pvt. Ltd.,"Ground Floor,Thapasya Building,Infopark-Kochi P.O,Kakkanad - 682042www.dimensionslive.com"
,DOCGIANT SERVICES INDIA PVT.LTD.,"Ground Floor,Athulya Infopark Kochi P.O.,Kochi - 682042www.docgiant.com"
,Dot In Technologies,"1st Floor, A Wing, Office No-A1-09, Chaithanya IT Building,Infopark Cherthala,Pallipuram, K R Puram P OCherthala,Alappuzha Dist.Kerala, 688541http://dotintech.com/"
,Dynactionize India Pvt Ltd,"Office No.2A-2, Second Floor Athulya Annexe Infopark Kochi P O Kakkanad Pin-682042www.consono.ai"
,Dynamed Healthcare Solutions Pvt.Ltd.,"8th Floor, Wing 2,Jyothirmaya Infopark Phase 2,Brahmapuram P.O.,Kochi - 682303www.dynamedhealth.com"
,Edstem Technologies Pvt Ltd,"Office No-2B-1,Wing-2, Second Floor, Jyothirmaya Building, Infopark Phase II, Kunnathunadu Taluk, Brahmapuram P O, Kochi Ernakulam, Pin: 682030www.edstem.com"
,EGC GLOBAL SERVICES INDIA PVT LTD,"2B-1, THAPASYA, INFOPARK PHASE1, KAKKANAD,KOCHI- 682042www.egcgs.theegc.com"
,Elixr Labs Technologies Private Limited,"Tower A, Brigade, WTC, Infopark Phase 1, Kochi, Kerala, India, 682303www.theelixrlabs.com"
,Emerinter Consultancy Services,"Infopark TBC, JNL StadiumKaloor, Kochi-682 017Kerala - Indiawww.emerinter.com"
,Empay Software Solutions Private Limited,"III D, 3rd Floor, Carnival Infopark Phase IV,Infopark Campus, Infopark,Kakkanad, Kerala 682030www.empaysoft.com"
,Empress InfoTech,"Empress Cybernetic Systems Pvt Ltd.3rd Floor, Carnival Phase II,Kakkanad, Kochi,India - 682042empressinfotech.com"
,Emsyne Technologies Privated Limited,"4th Floor, LULU Cyber Tower I, Infopark,  Kusumagiri P.O, Kakkanad, Kochi-682 030, Kerala, India. +91 484 6677602/6677604www.emsyne.com"
,EnergyScape Renewables LLP,"Ground Floor, GA-3, Athulya Annexe, Infopark Kochi Phase 1, Thrikkakara, Ernakulam, Kerala- 682042www.energyscaperenewables.com"
,EPI-USE India Pvt.Ltd.,"Infopark Kochi Phase 2,Jyothirmaya Building,9th Floor, Wing 2, Office No.9 B-4,Kakkanad, Kochi- 682303 .www.epiuse.com"
,Epixel Solutions Pvt Ltd,"18E, Tower 2, Trans Asia Cyber Park, Infopark SEZ Phase – II, Ambalamedu P.O, Puthencruz, Ernakulam, Kerala 682303.www.epixelsolutions.com"
,Eqsoft Business Solutions Pvt Ltd,"18B, Infopark TBC,JNI Stadium,Kochi - 682017eqsoftonline.com"
,EXACORE IT SOLUTIONS PRIVATE LIMITED,"1B-2, Indeevaram Building, KSITIL SEZ, Infopark, Koratty, Thrissur, Kerala - 680308www.exacoreitsolutions.com"
,EXL,"9th Floor,  Carnival Infopark 2, Infopark – Kakkanad, Kochi - 682042 Kerala.www.exlservice.com"
,Exor India Pvt Ltd.,"Second Floor, SBC1Thapasya BuildingInfopark, KakkanadKochi - 682042www.exorindia.com"
,Experion Technologies,"802, 8th Floor, Lulu Cyber Tower I Infopark SEZ, Kakkanad, Kochi - 682042www.experionglobal.com"
,EXPONENTIAL DIGITAL SOLUTIONS PVT.LTD.,"Office 1, Wing 2, 4th Floor, Jyothirmaya, Infopark Kochi Phase 2,  Brahmapuram P.O., Kochi  Kerala, India - 682 303www.10xds.com"
,Extravelmoney Technosol Private Limited,"Infopark TBC, Kaloorwww.extravelmoney.com"
,Facade Global Pvt. Ltd.,"Office No.2B-5, Wing 2,2nd Floor, ‘Jyothirmaya’ Building,Infopark Phase II,Brahmapuram PO,Ernakulam-682303www.facadeglobal.in"
,FDC Web Technologies Private Ltd.,"Unit 404, World Trade Centre, Brigade, SEZ Phase I, Infopark-682042www.financial.com"
,Feathersoft Info Solutions Private Limited,"INDEEVARAM,INFOPARK THRISSUR,NALUKETTU ROAD,KORATTY P.OTHRISSUR DISTINDIA - 680308www.feathersoft.com"
,Feathersoft Info Solutions Private Limited,"9th Floor,Jyothirmaya, building,Infopark phase 2www.feathersoft.com"
,Fingent Global Solutions,"8th floor, Carnival Infopark Phase II, Phase I, Infopark Campus, PO, Kochi, Kerala 682042www.fingent.com"
,FIRMINIQ SYSTEMS,"FIRMINIQ Systems,C06, Business Center,13th Floor, Tower II,TransAsia Building,Infopark phase II- SEZKakkanad.Kochi, Kerala 682303www.firminiq.com"
,Flarehex,"TBC, Infopark Kochiwww.flarehex.com"
,Focaloid Technologies Private Limited,"#202, 2nd Floor, Tower A, World Trade Centre, Phase 1, Infopark, Kakkanad, Ernakulam, Kerala, 682042.www.focaloid.com"
,Founding Minds software Pvt.Ltd,"Ground Floor,Athulya,Infopark Kakkanad, Kochi - 682030www.foundingminds.com"
,Fragomen Immigration Services  India Private Limited,"5th Floor, Lulu Cyber Tower 1,  Infopark, Kakkanad Kochi 682 042, India  T: +91 484 3989077www.fragomen.com"
,Framework Systems and Solutions Pvt Ltd,Door No:10 Tejomaya Info Park Kochi-682 030www.corelogic.co.uk
,Futurehook Technologies,"2nd Floor, Phase 1 Carnival Infopark Infopark Kochi P.O. Kochi – 682042www.futurehook.com"
,GALTech Technologies Pvt Ltd,"Office No 3A-4, Third Floor, Special Economic Zone (SEZ)Indeevaram, Infopark Thrissur Campus, Koratty P.O.,Thrissur District - 680308Phone: +91 480 2951674 / +91 6282 845 368UAE : +971 55 494 3599UK: +44 7464 499530www.galtech.org"
,GEOJIT TECHNOLOGIES PVT LTD,"Address 1GEOJIT TECHNOLOGIES PVT LTD,Unit No.304,3rd Floor, Brigade Enterprises Ltd,Infopark SEZ, Kakkanad, Kochi -682042Address -2GEOJIT TECHNOLOGIES PVT LTD,9th FLoor,34/659-P,Civil Lane Road, Padivattom Kochi -682042www.geojittechnologies.com"
,Gewan Info Tech Solutions India Private Limited,"Asokam, Ground Floor, Infopark,Nalukettu Road,Koratty, Thrissur, Kerala - 680308www.gewaninfotech.com"
,GIS AXIOM Pvt. Ltd.,"No. 21 B, Infopark TBC,JNI Stadium, Kaloor,Ernakulam,Kerala - India 682017www.gisaxiom.com"
,Gizmeon Technologies Private Limited,"Ground Floor, Phase II, Carnival Infopark, Infopark SEZ, Kakkanad, Kochi-682 042www.gizmeon.com"
,Glitz IT Solutions,"'Rajamalli', Infopark Thrissur Nalukettu Road, Koratty - 680308 Ph: +91 487 2970 744www.glitzitsolutions.com"
,Global Infonet Inc,"2nd floor, Carnival Infopark, Infopark PO, Kochi, Kerala, India-682 042www.global-infonet.com"
,Good Methods Software Solutions Private Limited (CareStack),"16th Floor, Part C, Trans Asia Cyber Park, Infopark, SEZ Phase II, Ambalamedu P O, Puthencruz, Ernakulam, Kochi-682 303 Kerala, Indiawww.carestack.com"
,GRAMPRO BUSINESS SERVICES PVT. LTD,KANIKKONNA VILLAINFOPARK THRISSURNALKETTU ROADKORATTY-680308www.gramproindia.com
,GrandTrust InfoTech Pvt Ltd,"12B1,Trans Asia Cyber Park,Info Park Phase -II,Ambalamedu P.O,Kochi -682303www.thegti.com"
,Grapelime Innovations Private Limited.,"1G, Carnival InfoparkPhase 2, Infopark Campus,Kakkanad, Kochi,Kerala, Pin - 682042www.grapelime.in"
,GreenAds Global Pvt Ltd,"204 & 205 sector E2nd Floor Infopark TBCJawaharlal Nehru International Stadium, Stadium Round,Kaloor Ernakulam 682017www.greenadsglobal.com"
,GUZTY ACCERONS PVT.LTD.,"13th Floor, 13B1, Tower 1,Trans Asia Cyber ParkInfopark Kochi  Phase II,Brahmapuram P.O.,Ernakulam (dt),682303 Kerala, Indiawww.guzty.com"
,GXX INDIA PRIVATE LIMITED,"Unit No. 204, 2nd Floor,Tower A, World Trade CentreInfopark Kochi Campus,Kakkanad,  ErnakulamKerala, 682042WWW.G10X.COM"
,HashRoot Ltd,"Ground Floor, Athulya Infopark, Kochi - 682042 Kerala, India  IN +91 (484) 404 1616 / 17 / 18  info@hashroot.comwww.hashroot.com"
,HashTG Systems India Pvt. Ltd,"Room No: 27,Ground Floor,InfoPark TBC.Kaloor, Kochi.www.hashtag-ca.com"
,Hatio Innovations Private Limited,"9C, Tower 1,Trans Asia Cyber ParkInfopark Phase 2, KakkanadErnakulam - 682303,Kerala, Indiahatio.in"
,Heidelsoft Technologies Private Limited,Jyothirmaya Building Infopark Phase- II Kochi-682303 Phone: 0484-2971190 Email: info@heidelsoft.dewww.heidelsoft.com
,HH Back Office Services Pvt Ltd,"8G, Trans Asia Cyber Park, Infopark SEZ Phase 2, Ambalamedu – 682303, INDIAwww.hhbos.com"
,Hotpack Global,"11G, Tower B, Trans Asia Cyber Tower, Infopark Phase 2, Cochin – 682 303www.hotpackglobal.com"
,HTIC Global,"#14, Tower II, Trans Asia Cyber Park Infopark Kochi Phase II, Brahmapuram P.O., Kochi – 682 303www.hticglobal.com"
,Hubbell Burndy India,"'Athulya', First Floor, Infopark Kusumagiri P.O, Kakkanad Kochi - 682030"
,IBS Software Private Limited,"Smartcity, Carnival Phase 1 &2 Infopark, Kakkanad, Kochi 682030www.ibsplc.com"
,iDatalytics Pvt. Ltd.,"First Floor, Jyothirmaya, Info Park Phase II, Brahmapuram P O, Kochi, Kerala 682303. Phone: 94470 34712www.idatalytics.com"
,IDSI India Technologies Pvt. Ltd.,"12th Floor, TransAsia Building  Infopark Kochi Phase 2 SEZ  Brahmapuram P.O., Kochi – 682303www.idsitechnologies.com"
,Ignitarium Technology Solutions Private Limited,"Wing 1, First Floor, Office No.1A-1, Jyothirmaya IT Building,  Infopark Phase 2, SEZ, Brahmapuram P.O., Kochi, Ernakulam, Kerala, 682303www.ignitarium.com"
,iLeaf Solutions Pvt Ltd.,"Unit 3F, 3rd Floor, Carnival Infopark Phase II, Kakkanad, Kochi -30 Ph : +91.484.2988403www.ileafsolutions.com"
,Impaqtive Technologies India Pvt Ltd,"Part F, 15th floor, Tower-2, Trans Asia Cyber Park, Infopark Kochi Phase 2, Ambalamedu P.O., Puthencruz, Kochiwww.impaqtive.com"
,In-Tech Group India Private Limited,"13 EFGH, Tower 2, Trans Asia Cyber Park, Infopark SEZ Phase-II, Kochi, Kerala – 682303www.in-tech.com"
,InApp Information Technologies India Pvt Ltd,"InApp Information Technologies India Pvt Ltd, 9th Floor, Part H, Tower2, Trans Asia Cyber Park, Infopark, SEZ Phase II, Kochiwww.inapp.com"
,Indian Institute of Management - Kozhikode,"Indian Institute of Management Kozhikode IIMK - Kochi Campus First Floor, Software Development Block Athulya Complex, Infopark, Kakkanad Kochi - 682030 Ph: 0484-3190205www.iimk.ac.in"
,INDUS WAND GROUP,"13/39, NRI TBI,INFOPARK TBC,KOCHI - 17, KERALA, INDIA.induswandgroup.com"
,InerG Software Innovations Pvt.Ltd.,"World Trade Centre Block -1,  6th Floor, Unit no. 601 Infopark Kochi P.O.,  Kochi - 682042www.inerg.com"
,Infenox Technologies India Pvt Ltd,"Wing-1, 5th Floor, Jyothirmaya, Infopark Kochi Phase 2 SEZ, Kochi, Kerala – 682 303www.infenox.com"
,Infintor Solutions LLP,"9th Floor, Vismaya, Infopark Kochi Phase 1, Kochi, Kerala, India- 682030www.infintor.com"
,INFOCYLANZ PVT. LTD.,"First Floor,Thapasya Building,Infopark Phase1,infopark Campus,kakkanad,kochi.   pincode-682042    Keralawww.infocylanz.com"
,Infosmart Technologies Private Limited,"Ground FloorAthulya Building,Phase 1InfoparkKakkanad, Kochiwww.infosmart-technologies.com"
,INFOX TECHNOLOGIES,"iNFOX Technologies Ground Floor, Phase 1 Carnival Infoparkwww.infoxtechnologies.com"
,Innate Technologies Pvt Ltd,"10 C, 10th Floor, Tower 1 TransAsia Cyber Park, Infopark Phase-II SEZ, Brahmapuram P.O, Kochi - 682303 Kerala, Indiainnatetechnologies.net"
,Innovature Software Labs (P) Ltd,"Trans Asia Cyber Park 18th Floor, Infopark Phase 2, Kakkanad, Kerala 682303innovature.ai"
,Inntot Technologies Private Limited,"2nd Floor, Jyothirmaya, Infopark Phase - 2 Kochi - 682303 Email : info@inntot.comwww.inntot.com"
,Inspired Software Development (India) LLP,"Unit No: 1106, 11th Floor, Lulu Cyber Tower 2, Infopark Kochi Phase 1, Kakkanad, Kerala- 682042www.inseinc.com"
,Inspirisys Solutions Limited,"201, Lulu Cyber Tower-1,  Info Park,  Cochin- 682042www.inspirisys.com"
,Intbrains Private Limited,"9th Floor, Phase 4, Carnival Infopark, Kochi, Kerala, India - 682042www.intbrains.com"
,Internland Technology Services Private Limited,"Module F, 7th Floor, Tower 2, Trans Asia Cyber Park, Infopark Phase II, Kakkanad, Kochi, Kerala- 682030www.interlandtech.com"
,Jachoos Technologies Private Limited,"SBC 3, 3rd floor, Thapasya Building, Phase 1, Infopark Kochi - 682030www.jachoos.com"
,Jaivam Life LLP,"1st Floor,Thapasya Building,Infopark, Kakkanad,Ernakulam, Keralawww.jaivamlife.com"
,Jobin & Jismi Pvt. Ltd.,"Office No: 3A-2, 3rd Floor, Indeevaram Building, KSITIL SEZ, Infopark Thrissur, Nalkettu Road, Koratty, Thrissur - 680308www.jobinandjismi.com"
,JTSi Technologies India Private Limited,"Third Floor, Thapasya Building,Infopark,  Kochi – 682042, Kerala.E Mail : careers@jtsiindia.comwww.jtsiindia.com"
,Kakapo Systems India Private Limited,"Office No. GA-2, Ground Floor, Athulya IT Building, Infopark Phase 1 SEZ, Kakkanad, Cochin 682042.www.kakaposystems.com/contact-us/"
,KATZION TECHNOLOGY SOLUTIONS LLP,"11B, Trans Asia Cyber Park,  Infopark SEZ Phase II Kakkanad,  Ernakulam,  Kerala – 682303www.katzion.com"
,KL Koncepts Lab Media and IT Park,"First Floor, Indeevaram, Special Economic Zone (SEZ), Infopark Thrissur, Koratty P.O, Thrissur - 680308, Kerala, India.www.konceptslab.com"
,KnowBe4 India Private Limited,"Unit No. 601A, 6th Floor, Tower A, World Trade Centre Kochi, Infopark, Kakkanad, Kerala, India 682030.www.knowbe4.com"
,Komodo Innovations Private Limited,"39/12, Infopark TBC, JNI Stadium, Kaloor, Kochi, Kerala 682017komodoinnovations.com"
,KOTT SOFTWARE PRIVATE LIMITED,"Third Floor, Office 2 & Office 3, Wing 2, Jyothirmaya IT Building,  Infopark SEZ Phase 2,  Brahmapuram P.O., Kochi – 682303https://www.kottsoftware.com"
,Krythium Solutions Private Limited,"Tower 1, 14th Floor,Office B&CTrans Asia Cyber ParkInfopark SEZ Phase II,Amabalamedu POKochi, Kerala 682303www.krythium.com"
,LANWARE SOLUTIONS,"9-G, Trans Asia Cyber Park  Infopark Kochi Phase 2,  Brahmapuram P.O., Kochi – 682303  Email: contact@lanwaresolutions.com Mob : 9778423737www.lanwaresolutions.com"
